                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.0256,                 1.0333,                 1.2005,                0.81801,                0.70186,                0.77599,                0.55455,                 1.1314,                0.88021,                  1.269,              0.0063964,              0.0063964,              0.0063964
                     94,                  1.034,                 1.0455,                 1.2035,                0.81611,                 0.6981,                0.77385,                0.55308,                 1.1269,                0.87645,                 1.2665,              0.0063568,              0.0063568,              0.0063568
                     95,                 1.0396,                 1.0529,                 1.2068,                0.82249,                0.69203,                0.77234,                0.55294,                 1.1257,                 0.8747,                 1.2643,              0.0063172,              0.0063172,              0.0063172
                     96,                 1.0254,                   1.02,                 1.2027,                0.84195,                0.68709,                0.77192,                0.55292,                 1.1233,                 0.8718,                 1.2623,              0.0062776,              0.0062776,              0.0062776
                     97,                 1.0276,                 1.0389,                 1.2029,                0.83559,                0.69221,                0.77394,                0.55412,                 1.1246,                0.86103,                 1.2625,               0.006238,               0.006238,               0.006238
                     98,                 1.0364,                  1.026,                 1.2065,                0.82922,                0.70021,                0.77596,                0.55478,                 1.1242,                0.86023,                 1.2582,              0.0061984,              0.0061984,              0.0061984
                     99,                 1.0361,                 1.0227,                 1.2024,                0.81391,                0.70516,                0.77373,                0.55472,                 1.1244,                0.86515,                 1.2594,              0.0061588,              0.0061588,              0.0061588
                    100,                  1.016,                 1.0088,                 1.1941,                0.82143,                0.69834,                0.77225,                0.55528,                 1.1257,                0.86826,                 1.2609,              0.0061192,              0.0061192,              0.0061192
                    101,                 1.0233,                 1.0125,                 1.1965,                0.82006,                 0.6982,                0.77245,                0.55499,                 1.1259,                 0.8665,                  1.262,              0.0060796,              0.0060796,              0.0060796
                    102,                 1.0313,                 1.0146,                  1.201,                0.82465,                0.69607,                0.77511,                0.55619,                 1.1216,                0.86019,                 1.2586,                0.00604,                0.00604,                0.00604
                    103,                 1.0164,                0.99761,                 1.1927,                0.81968,                0.70115,                0.77424,                0.55735,                 1.1205,                  0.858,                 1.2576,              0.0060004,              0.0060004,              0.0060004
                    104,                 1.0218,                 1.0101,                 1.1983,                0.81541,                0.69341,                0.77388,                0.55434,                 1.1242,                0.85779,                 1.2597,              0.0059608,              0.0059608,              0.0059608
                    105,                 1.0209,                0.99505,                 1.1931,                0.82775,                0.68738,                0.77531,                0.55511,                  1.128,                0.86064,                 1.2622,              0.0059212,              0.0059212,              0.0059212
                    106,                 1.0221,                 1.0041,                 1.1955,                0.82175,                0.69595,                0.77487,                0.55557,                 1.1288,                0.86651,                 1.2625,              0.0058816,              0.0058816,              0.0058816
                    107,                  1.021,                0.99974,                 1.1986,                0.82456,                0.69212,                0.77462,                0.55559,                 1.1303,                0.86474,                 1.2653,               0.005842,               0.005842,               0.005842
                    108,                 1.0168,                 1.0054,                 1.1927,                0.83087,                0.69131,                0.77625,                0.55494,                 1.1288,                0.86417,                 1.2649,              0.0058024,              0.0058024,              0.0058024
                    109,                 1.0095,                 0.9854,                 1.1879,                0.83142,                0.69003,                0.77518,                0.55575,                 1.1262,                0.86558,                 1.2634,              0.0057628,              0.0057628,              0.0057628
                    110,                 1.0056,                0.98203,                 1.1869,                0.84345,                0.68777,                0.77468,                0.55646,                  1.126,                0.86389,                 1.2625,              0.0057232,              0.0057232,              0.0057232
                    111,                 1.0056,                 0.9851,                 1.1847,                0.84431,                0.69269,                0.77737,                0.55634,                 1.1268,                0.85846,                  1.263,              0.0056836,              0.0056836,              0.0056836
                    112,                 1.0187,                0.99175,                  1.188,                0.83877,                0.69905,                0.78073,                0.55932,                 1.1255,                0.85373,                 1.2627,               0.005644,               0.005644,               0.005644
                    113,                  1.012,                0.98545,                 1.1846,                0.83827,                0.70068,                0.78164,                0.56093,                 1.1287,                0.85217,                 1.2646,              0.0056044,              0.0056044,              0.0056044
                    114,                 1.0102,                0.99289,                 1.1822,                0.84277,                0.70002,                0.78194,                0.56189,                 1.1301,                0.84912,                 1.2653,              0.0055648,              0.0055648,              0.0055648
                    115,                 1.0137,                0.98475,                   1.19,                0.84204,                 0.6988,                0.78193,                0.56351,                 1.1289,                0.84591,                  1.264,              0.0055252,              0.0055252,              0.0055252
                    116,                 1.0071,                0.97123,                  1.184,                0.83148,                 0.7046,                0.78221,                0.56375,                 1.1283,                0.84467,                 1.2632,              0.0054856,              0.0054856,              0.0054856
                    117,                 1.0053,                0.96797,                 1.1806,                0.83561,                0.70322,                0.78333,                0.56488,                 1.1269,                0.84233,                 1.2622,               0.005446,               0.005446,               0.005446
                    118,                0.99715,                0.96197,                 1.1819,                0.83077,                0.70131,                0.78161,                0.56299,                 1.1265,                0.84302,                 1.2626,              0.0054064,              0.0054064,              0.0054064
                    119,                 1.0078,                0.97783,                 1.1838,                0.83953,                0.69565,                0.78006,                0.56331,                 1.1264,                0.84186,                 1.2632,              0.0053668,              0.0053668,              0.0053668
                    120,                0.99838,                0.97098,                 1.1816,                0.83925,                0.69791,                0.78011,                0.56311,                 1.1272,                0.84203,                 1.2627,              0.0053272,              0.0053272,              0.0053272
                    121,                 0.9941,                0.96164,                 1.1784,                0.82792,                0.70231,                0.78069,                0.56437,                 1.1251,                0.84152,                 1.2612,              0.0052876,              0.0052876,              0.0052876
                    122,                0.99689,                0.96149,                 1.1773,                0.83659,                0.69699,                0.78046,                0.56405,                 1.1261,                0.83982,                 1.2618,               0.005248,               0.005248,               0.005248
                    123,                0.99245,                0.94521,                 1.1755,                0.84634,                0.69463,                0.78092,                0.56332,                 1.1246,                0.83928,                 1.2603,              0.0052084,              0.0052084,              0.0052084
